Name,md5,Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,malware
VirusShare_ea5949d5524100b5a618fecab15516a0,ea5949d5524100b5a618fecab15516a0,332,224,258,9,0,112128,492032,0,11330,4096,118784,4194304.0,4096,512,5,0,0,0,5,0,626688,1024,2018480784,2,33088,1048576,4096,1048576,4096,0,16,5,5.80927433457,5.44781916216,6.61149018161,120832.0,7168,449536,122173.6,6892,449516,4,98,1,0,6,4.74226223813,2.45849222582,5.44721187539,74850.1666667,48,433664,72,0,1
VirusShare_191f357883064af07e6cf665865ac216,191f357883064af07e6cf665865ac216,332,224,271,6,0,49152,16384,0,23694,4096,53248,4194304.0,4096,4096,4,0,0,0,4,0,10383360,4096,119946,3,0,1048576,4096,1048576,4096,0,16,4,4.70468821828,3.86119114249,6.38053941561,16384.0,4096,49152,2593196.0,2792,10317048,2,58,0,0,4,3.35660205204,2.18547529723,4.99408736013,1426.5,20,4264,0,14,1
VirusShare_012498b979e45fb0777af06a98b9f83d,012498b979e45fb0777af06a98b9f83d,332,224,33166,2,25,508416,50789376,0,51331073,4096,516096,4194304.0,4096,512,4,0,0,0,4,0,51343360,1024,0,2,0,1048576,16384,1048576,4096,0,16,10,3.67831107045,0.0,7.99897056366,388608.0,0,3663360,5133926.4,4096,50741248,11,13,0,0,111,1.39684330549,0.0,7.99718536103,457047.90991,16,4847654,0,20,1
VirusShare_c4023ef5d6686eee1407982a71d0be88,c4023ef5d6686eee1407982a71d0be88,332,224,258,9,0,430080,344576,0,278988,4096,434176,4194304.0,4096,512,5,0,0,0,5,0,802816,1024,1820677856,2,33088,1048576,4096,1048576,4096,0,16,5,5.12943153941,4.47512512211,6.55636036629,154931.2,13824,430080,158216.4,30840,429692,14,421,15,0,59,2.82782573164,0.960953135828,7.21232880919,2637.03389831,20,67624,72,0,1
AcGenral.dll,dd502a2e7b85ea7a3814c1034e6c23d3,332,224,8450,9,0,495616,1688064,0,8719,4096,507904,1969094656.0,4096,512,6,1,6,1,6,1,2195456,1024,2206996,3,320,262144,4096,1048576,4096,0,16,4,5.07800825903,3.47877131533,6.79799493998,543872.0,33280,1610752,545570.25,35472,1610336,28,441,4,2,55,3.61411985619,2.39644613042,4.20758840749,29188.5090909,366,194080,72,16,0
AdobeARM.exe,0b232c77d822983397674aeec9ab59dc,332,224,258,9,0,456192,514048,0,188633,4096,462848,4194304.0,4096,512,5,0,0,0,5,0,999424,1024,1021586,2,33088,1048576,4096,1048576,4096,0,16,5,4.96784502551,3.61391041763,6.51897467133,194048.0,12288,456192,197399.2,29512,455950,19,465,31,0,67,2.93595753226,0.960953135828,7.96432194852,3920.31343284,20,143186,72,16,0
VirusShare_cc09cf89234fa65954bce155014e7cf0,cc09cf89234fa65954bce155014e7cf0,332,224,258,10,0,120320,385024,0,61578,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,548027,2,33088,1048576,4096,1048576,4096,0,16,5,5.64644365076,4.11726411592,7.96277585234,101068.8,9728,330752,102623.8,9404,339652,3,89,0,0,6,3.72982390563,2.45849222582,5.31755235629,2739.5,48,9640,72,15,1
F12Resources.dll,d7fa0b9297e45271dd443b7adce2316d,34404,240,8226,11,0,1024,10745856,0,4396,4096,0,6442450944.0,4096,512,6,3,6,3,6,1,10768384,1024,10806184,2,352,262144,4096,1048576,4096,0,16,6,1.85431890369,0.129442628496,5.06056629254,1791146.66667,512,10743808,1790773.16667,16,10743464,1,6,0,0,378,5.60144963827,1.82165410602,7.93346904364,28291.1322751,69,1875388,148,16,0
VirusShare_bafcb6843b38b4f04bafc22a02549cfc,bafcb6843b38b4f04bafc22a02549cfc,332,224,258,10,0,118784,381952,0,59802,4096,122880,4194304.0,4096,512,5,1,0,0,5,1,520192,1024,518438,2,33088,1048576,4096,1048576,4096,0,16,5,5.63492600071,4.08732404734,7.9633694993,100147.2,9728,333824,101468.2,9358,333688,7,114,0,0,22,6.80166172069,2.45849222582,7.99131096639,15112.7727273,48,22595,72,15,1
VirusShare_b07b166096d0b14aa0848db7573003f0,b07b166096d0b14aa0848db7573003f0,332,224,258,9,0,41984,322048,0,9481,4096,49152,4194304.0,4096,512,5,0,0,0,5,0,385024,1024,2018238336,2,33088,1048576,4096,1048576,4096,0,16,5,5.44252564801,3.55452394444,6.53840738695,72806.4,6656,284160,74088.4,6254,284140,4,83,1,0,6,4.87731535438,2.45849222582,6.2512178248,47287.5,48,268288,72,0,1
VirusShare_c2056c7aab84f9b4547bd8b9ac2018dd,c2056c7aab84f9b4547bd8b9ac2018dd,332,224,258,10,0,117248,389632,0,58650,4096,122880,4194304.0,4096,512,5,1,0,0,5,1,520192,1024,559766,2,33088,1048576,4096,1048576,4096,0,16,5,5.62782325145,4.03460495174,7.96613444061,99635.2,9728,330240,101061.8,9344,338532,4,98,0,0,5,3.31274294707,2.674419892,3.76438543256,2517.6,48,7336,72,14,1
webcheck.dll,da6c32edf3475ec53d2764c9c89d0aed,332,224,8450,11,0,159232,71168,0,156784,4096,163840,268435456.0,4096,512,6,3,6,3,6,1,249856,1024,267309,2,16704,262144,4096,1048576,4096,0,16,6,4.6865890339,1.40407344198,6.62543334734,38229.3333333,512,159232,38107.8333333,344,158991,7,196,17,3,44,3.54651450561,1.09178571825,6.02845635456,1192.61363636,20,5232,92,17,0
VirusShare_a328f8d6ddeb9710fa1b7a4fb8b9707e,a328f8d6ddeb9710fa1b7a4fb8b9707e,332,224,258,10,0,119808,409600,0,60842,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,548864,1024,541391,2,33088,1048576,4096,1048576,4096,0,16,5,5.67621242965,4.19192826876,7.96810818382,105881.6,9728,360448,107303.0,9472,360248,7,112,0,0,23,6.88477433238,2.45849222582,7.99048736758,15609.0434783,48,25472,72,15,1
VirusShare_450640f3502cd9eb8c79291529206586,450640f3502cd9eb8c79291529206586,332,224,258,10,0,119808,385024,0,61532,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,550648,2,33088,1048576,4096,1048576,4096,0,16,5,5.65935611278,4.15850637054,7.96309810922,100966.4,9728,330752,102635.8,9416,339716,3,90,0,0,6,3.75279847985,2.45849222582,5.31755235629,2738.83333333,48,9640,72,15,1
TPPrnUI.dll,4a7435c6c0444076ca1907b82c3ca7fa,332,224,8462,6,0,49152,102400,0,48125,4096,53248,268435456.0,4096,4096,4,0,0,0,4,0,155648,4096,190194,2,0,1048576,4096,1048576,4096,0,16,5,4.60547612972,3.01642995403,6.26180007314,28672.0,8192,57344,28312.4,5312,55112,9,310,190,13,43,2.92686375141,1.2464967764,5.26152920406,1227.93023256,20,14316,0,20,0
VirusShare_d7c5a08240930b05ad0ff554cd1b88fb,d7c5a08240930b05ad0ff554cd1b88fb,332,224,258,8,0,7680,309760,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,339968,1024,334104,2,34112,1048576,4096,1048576,4096,0,16,7,4.91505785783,0.0,7.99868253253,45348.5714286,0,177152,45323.0,348,177152,3,41,0,0,6,3.66004264393,2.15749872074,5.15540854179,1314.16666667,48,3752,0,23,1
mmcbase.dll,00d7ab9a8e5c9a84cfca19ad9e583e6f,332,224,8450,9,0,115712,186880,0,14113,4096,131072,1834614784.0,4096,512,6,1,6,1,6,1,315392,2048,368676,2,320,262144,4096,1048576,4096,0,16,4,4.25385589339,0.996532120764,6.60654831858,75520.0,6144,165376,75381.0,5848,164928,23,172,4,132,109,2.51098343749,1.47753431414,6.32826712943,1463.50458716,90,4264,72,16,0
VirusShare_b6eafb9b5ce2337931f00cdfb68a45a4,b6eafb9b5ce2337931f00cdfb68a45a4,332,224,33166,2,25,47616,21504,0,49600,4096,53248,4194304.0,4096,512,4,0,6,0,4,0,98304,1024,2464010,2,32768,1048576,16384,1048576,4096,0,16,8,3.23279936342,0.0,6.45490796561,8640.0,0,47616,8993.125,8,47336,11,114,0,0,16,3.47693973409,1.17487463252,5.15619635787,647.125,16,2216,0,15,1
NlsData004a.dll,606eaa5645b3a82252388203876c70ec,332,224,8450,9,0,3089920,39936,0,2897086,4096,3096576,1041170432.0,4096,512,6,1,6,1,5,1,3145728,1024,3121995,3,320,262144,4096,1048576,4096,0,16,4,4.65577911776,2.62163981532,6.66768943266,778880.0,1536,3089920,782145.75,1088,3089663,2,91,0,1,1,3.56018853114,3.56018853114,3.56018853114,988.0,988,988,72,16,0
VirusShare_ad8061a631ba8093a1ca439e0f619f1f,ad8061a631ba8093a1ca439e0f619f1f,332,224,258,10,0,118272,380416,0,59610,4096,122880,4194304.0,4096,512,5,1,0,0,5,1,516096,1024,570588,2,33088,1048576,4096,1048576,4096,0,16,5,5.65942634034,4.21793765714,7.97742341552,99737.6,9728,331264,101043.0,9304,330808,6,107,0,0,22,6.82540564069,2.61702640237,7.99048736758,14981.9090909,48,22648,72,14,1
VirusShare_f1851006f7bb66053484e144e4b06feb,f1851006f7bb66053484e144e4b06feb,332,224,271,7,0,24576,806912,0,6132,4096,28672,4194304.0,4096,4096,4,0,0,0,4,0,843776,4096,0,2,0,1048576,4096,1048576,4096,0,16,4,5.31426406711,3.24488332907,7.86016290373,207872.0,8192,786432,206752.5,6922,791032,2,61,0,0,4,4.90195207804,2.59108655866,5.73655507477,2001.0,48,4004,0,0,1
VirusShare_83107ad02654ae419a6e32c24cbe82e3,83107ad02654ae419a6e32c24cbe82e3,332,224,258,8,0,7680,321024,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,348160,1024,396253,2,34112,1048576,4096,1048576,4096,0,16,7,5.0821558792,0.0,7.99885109636,46957.7142857,0,178176,46932.1428571,348,178176,3,41,0,0,6,4.05088021443,2.09891628205,5.15540854179,3020.83333333,48,9640,0,23,1
BthMtpContextHandler.dll,c7c78d72c2238a0e7bd3231286b370ef,34404,240,8226,9,0,25088,6656,0,21168,4096,0,8792448434176.0,4096,512,6,1,6,1,6,1,49152,1024,43274,2,320,262144,4096,1048576,4096,0,16,5,3.46768705188,1.54610093603,6.12365313545,5939.2,512,25088,6112.4,326,24768,7,70,3,4,3,3.79368513147,2.72945678674,5.0951085288,533.666666667,200,996,0,16,0
netiomig.dll,724ed1481f039fdca6be978c28c59b79,34404,240,11298,9,0,65024,8192,0,59936,4096,0,8792480677888.0,4096,512,6,1,6,1,6,1,86016,1024,87117,3,320,262144,4096,1048576,4096,0,16,5,3.73677872599,2.12128030107,6.21137039889,14233.6,1024,65024,14422.2,756,64919,11,114,8,5,2,3.63159195579,3.52873211084,3.73445180074,539.5,163,916,0,16,0
VirusShare_beb0aedb97b6761dd700ad95bead1426,beb0aedb97b6761dd700ad95bead1426,332,224,258,10,0,118784,412672,0,59674,4096,122880,4194304.0,4096,512,5,1,0,0,5,1,548864,1024,582638,2,33088,1048576,4096,1048576,4096,0,16,5,5.65297674881,4.16041248884,7.97033750358,106291.2,9728,364544,107618.6,9434,364364,7,114,0,0,24,6.89725240711,2.45849222582,7.99217659996,15127.6666667,48,25410,72,15,1
VirusShare_ba001e08056c91548a73026172a4e89d,ba001e08056c91548a73026172a4e89d,332,224,271,6,0,23552,117760,1024,12825,4096,28672,4194304.0,4096,512,4,0,6,0,4,0,192512,1024,0,2,32768,1048576,4096,1048576,4096,0,16,5,4.25742352087,0.0,6.48016124971,6348.8,0,23552,36011.6,2512,108504,8,158,1,0,5,3.33000808075,2.16096404744,5.25700930934,425.6,20,784,0,12,1
McShield.dll,60a35e3685255329496ae724f9418b39,332,224,8450,8,0,0,10240,0,0,4096,4096,336592896.0,4096,512,4,0,4,0,4,0,20480,512,76493,2,1024,1048576,4096,1048576,4096,0,16,2,2.81882519679,0.0203931352361,5.61725725835,5120.0,512,9728,4714.0,8,9420,0,0,0,0,8,5.37085800144,3.68283780611,6.00944689224,1118.0,118,5852,0,14,0
ntdsa.dll,287639ecc26e591100d28b2336794fb6,34404,240,8226,9,0,41984,26112,0,7600,4096,0,8793688768512.0,4096,512,6,1,6,1,6,1,86016,1536,113686,3,320,262144,4096,1048576,4096,0,16,6,4.07399005526,1.7180508373,5.91520251459,11093.3333333,1024,41984,11190.3333333,712,41890,12,44,0,168,2,3.16182921757,2.76773861049,3.55591982465,544.0,216,872,0,16,0
DWrite.dll,c8d0195d1a684eee2eec3bcd4a2c8f60,332,224,8450,9,0,820736,254976,0,595207,4096,827392,508362752.0,4096,512,6,1,6,1,6,0,1089536,1024,1101028,3,320,262144,4096,1048576,4096,0,16,5,4.95151026075,1.91741730243,6.55031630838,214630.4,1536,820736,214876.2,3948,820481,6,158,0,1,6,4.36384571694,2.81219720325,6.72116108458,25975.6666667,240,73804,72,16,0
VirusShare_5f2d9509182e345c011799e7f9a01a7d,5f2d9509182e345c011799e7f9a01a7d,332,224,258,10,0,119808,385024,0,61532,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,551031,2,33088,1048576,4096,1048576,4096,0,16,5,5.65935611278,4.15850637054,7.96309810922,100966.4,9728,330752,102635.8,9416,339716,3,90,0,0,6,3.75279847985,2.45849222582,5.31755235629,2738.83333333,48,9640,72,15,1
networkinspection.dll,2c160d0783ecc9353b82069b9d55e0b3,34404,240,8226,11,0,377856,815616,0,309888,4096,0,6442450944.0,4096,512,6,3,6,3,6,1,1212416,1024,1210805,3,352,262144,4096,1048576,4096,0,16,6,4.07172784925,1.70411556787,6.19290868522,198485.333333,2048,782848,198717.166667,4260,782800,16,317,8,1,31,2.69942955171,1.06159377996,5.47668783905,25195.1612903,224,292074,148,17,0
VCBSnapshotProvider.dll,7ce056967c0d5c7d3d84ac4705916645,34404,240,8226,8,0,98304,80896,0,100080,4096,0,6442450944.0,4096,512,4,0,0,0,5,2,192512,1024,215249,2,0,1048576,4096,1048576,4096,0,16,6,4.7289568349,2.94605384368,6.05080917188,29866.6666667,1536,98304,29899.6666667,1038,98052,8,186,8,4,7,4.43568699855,2.04081430996,5.40156157114,2061.42857143,70,11436,0,16,0
VirusShare_ad4e55bf32a4ba92ce3139ae8ce4a8c2,ad4e55bf32a4ba92ce3139ae8ce4a8c2,332,224,258,10,0,118784,385536,0,60132,4096,122880,4194304.0,4096,512,5,1,0,0,5,1,520192,1024,525545,2,33088,1048576,4096,1048576,4096,0,16,5,5.66822536729,4.23426349568,7.96082673914,100864.0,9728,335872,102242.2,9384,335644,7,115,0,0,28,7.05079965069,2.45849222582,7.98859756433,11933.7142857,48,18540,72,14,1
VirusShare_3ec5804b1ce5ad126182e6685a081f3b,3ec5804b1ce5ad126182e6685a081f3b,332,224,8450,9,0,4096,10240,0,6771,4096,8192,268435456.0,4096,512,5,0,0,0,5,0,28672,1024,63072,2,320,10000000,4096,1048576,4096,0,16,5,4.15273579552,0.339640993488,5.65131697137,2867.2,512,7680,2703.6,628,7340,4,161,0,1,1,5.02069508289,5.02069508289,5.02069508289,598.0,598,598,72,0,1
VirusShare_ba46670aa1a4b62fedaa5f00c7c9d4c2,ba46670aa1a4b62fedaa5f00c7c9d4c2,332,224,258,12,0,83968,208896,0,21885,4096,90112,4194304.0,4096,512,5,1,0,0,5,1,311296,1024,308540,2,33088,1048576,4096,1048576,4096,0,16,5,5.58227770984,3.53204384223,6.64877272496,57036.8,5632,160256,58417.6,5528,160176,7,101,4,0,7,4.12160558063,2.64576300669,6.38024604643,22810.2857143,62,154279,72,0,1
VVIEWER.DLL,4d14774e26b5c108584a2ff6c5691573,332,224,8450,9,0,2992128,1186816,0,1224106,4096,3235840,1610612736.0,4096,512,5,1,0,0,5,1,4194304,1024,4226244,2,64,1048576,4096,1048576,4096,0,16,4,6.07524216994,4.67253772735,6.81633370702,1044736.0,132096,2992128,1044517.25,132024,2991825,17,843,3,5,89,3.24084054156,0.833805455061,6.44746624911,7414.75280899,6,270376,72,18,0
msxml3.dll,e20cf99dfd5e4d1b0078224094818829,34404,240,8226,9,0,1076224,817664,0,222480,4096,0,8793849135104.0,4096,512,6,1,6,1,6,1,1908736,1024,1892659,2,320,262144,4096,1048576,4096,0,16,6,5.02161198161,1.21968879391,6.25754673186,312746.666667,25088,1076224,315375.833333,24960,1075803,6,194,37,5,32,4.18760763952,2.49726096109,7.97948696167,10532.34375,146,101080,0,17,0
mxdwdui.dll,677ec070f37bf614a5ba3f2ca7bd3887,34404,240,8226,9,0,100864,118784,0,52132,4096,0,8792626692096.0,4096,512,6,1,6,1,5,2,237568,1024,255198,2,64,262144,4096,1048576,4096,0,16,5,4.49723908054,2.48608809289,5.90332477215,43929.6,3072,105472,45665.6,2894,106496,7,115,0,2,175,3.39868728551,2.47746367775,5.18734083013,573.725714286,82,9640,0,16,0
imagehlp.dll,5afce94e8286b2f57a04da37f01bf21a,332,224,8462,7,10,135680,12288,0,4717,4096,139264,1992884224.0,4096,512,5,1,5,1,4,0,163840,1024,188984,3,0,262144,4096,1048576,4096,0,16,4,4.8183364012,2.98046666309,6.62271006015,35840.0,1024,135680,36866.0,1024,135665,2,124,0,108,1,3.60203763659,3.60203763659,3.60203763659,928.0,928,928,72,16,0
VirusShare_0ad631875d66a83b738d97f21fe0c1d2,0ad631875d66a83b738d97f21fe0c1d2,332,224,258,10,0,120320,385024,0,61562,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,519207,2,33088,1048576,4096,1048576,4096,0,16,5,5.65247006243,4.14990094209,7.96279259334,101068.8,9728,330752,102619.0,9396,339620,3,89,0,0,6,3.75606821168,2.45849222582,5.31755235629,2739.5,48,9640,72,15,1
EP0LVR1E.DLL,c8f27b808c953ae904bee8162ea7e338,332,224,8450,9,0,33280,17920,0,10358,4096,40960,78643200.0,4096,512,6,1,6,1,5,1,61440,1024,60753,3,320,262144,4096,1048576,4096,0,16,4,5.20630189519,2.63506191197,7.29201564357,12032.0,3584,33280,12468.25,3200,32877,1,61,0,11,2,5.66245321489,3.55571715855,7.76918927123,3438.0,940,5936,72,16,0
findstr.exe,e62cb31ae2dffba6836c7cb780ebf7de,332,224,271,7,10,17920,18432,0,19285,4096,24576,16777216.0,4096,512,5,1,5,1,4,0,45056,1024,74160,3,32768,262144,4096,1048576,4096,0,16,3,3.75458520755,1.40367462805,6.51549935451,8704.0,512,17920,11996.0,7456,17784,4,93,0,0,2,3.47024761389,3.33980329414,3.60069193365,3648.0,920,6376,72,16,0
VirusShare_0ce01ad61efd42e5ba798f0a4f0ce605,0ce01ad61efd42e5ba798f0a4f0ce605,332,224,258,12,0,64000,183296,0,10482,4096,69632,4194304.0,4096,512,5,1,0,0,5,1,262144,1024,259470,2,33088,1048576,4096,1048576,4096,0,16,5,5.69078845057,3.42614070159,7.2456403754,47923.2,5120,138240,49202.2,4832,137960,3,77,0,0,7,4.24373495021,2.64576300669,7.23515163355,19641.2857143,62,132096,72,0,1
VirusShare_5b3df99a1ae8d589311953d26848d22b,5b3df99a1ae8d589311953d26848d22b,332,224,258,10,0,28672,445952,16896,14819,4096,32768,4194304.0,4096,512,5,0,6,0,5,0,8708096,1024,697750,2,34112,1048576,4096,1048576,4096,0,16,6,4.13608970072,0.0,6.49788465186,10410.6666667,0,28672,1449848.0,3978,8212480,8,172,1,0,9,4.24339529637,2.45849222582,6.46407026422,1895.66666667,48,9640,0,13,1
VirusShare_b38abecd323c8b600b869015e7f30a75,b38abecd323c8b600b869015e7f30a75,332,224,258,10,0,119808,385024,0,61532,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,512960,2,33088,1048576,4096,1048576,4096,0,16,5,5.65935611278,4.15850637054,7.96309810922,100966.4,9728,330752,102635.8,9416,339716,3,90,0,0,6,3.75279847985,2.45849222582,5.31755235629,2738.83333333,48,9640,72,15,1
api-ms-win-core-handle-l1-1-0.dll,71abca2a51607c1b5d3a19f276f1dd6c,34404,240,8226,9,0,512,1536,0,4204,4096,0,8792586584064.0,4096,512,6,1,6,1,6,1,16384,1024,5619,3,320,262144,4096,1048576,4096,0,16,3,2.27916755192,0.0203931352361,3.4504604996,682.666666667,512,1024,448.666666667,26,1008,0,0,0,4,1,3.56339391902,3.56339391902,3.56339391902,908.0,908,908,0,16,0
VirusShare_dd8d4a098198b88c1c935389b0b6b496,dd8d4a098198b88c1c935389b0b6b496,332,224,258,10,0,119808,385024,0,61532,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,557923,2,33088,1048576,4096,1048576,4096,0,16,5,5.65935611278,4.15850637054,7.96309810922,100966.4,9728,330752,102635.8,9416,339716,3,90,0,0,6,3.75279847985,2.45849222582,5.31755235629,2738.83333333,48,9640,72,15,1
VirusShare_9f5fa7049ddec4686f58344853476c91,9f5fa7049ddec4686f58344853476c91,332,224,258,9,0,552448,390656,0,409452,4096,557056,4194304.0,4096,512,5,0,0,0,5,0,978944,1024,957588,2,32832,1048576,4096,1048576,4096,0,16,5,5.66671848807,4.55860876207,6.71500003544,188620.8,14336,552448,192224.2,33376,551953,19,469,19,0,80,3.33061579933,0.960953135828,7.98384054913,2012.5875,20,28240,72,15,1
